pbt_id,state_id,state_name,pbt_name
DBKL,14,WILAYAH PERSEKUTUAN KUALA LUMPUR,DEWAN BANDARAYA KUALA LUMPUR
MBAS,2,KEDAH,MAJLIS BANDARAYA ALOR SETAR
MBI,8,PERAK,MAJLIS BANDARAYA IPOH
MBKT,11,TERENGGANU,MAJLIS BANDARAYA KUALA TERENGGANU
MBMB,4,MELAKA,MAJLIS BANDARAYA MELAKA BERSEJARAH
MBPJ,10,SELANGOR,MAJLIS BANDARAYA PETALING JAYA
MBPP,7,PULAU PINANG,MAJLIS BANDARAYA PULAU PINANG
MBS,5,NEGERI SEMBILAN,MAJLIS BANDARAYA SEREMBAN
MBSA,10,SELANGOR,MAJLIS BANDARAYA SHAH ALAM
MBSJ,10,SELANGOR,MAJLIS BANDARAYA SUBANG JAYA
MBSP,7,PULAU PINANG,MAJLIS BANDARAYA SEBERANG PERAI
MDB,11,TERENGGANU,MAJLIS DEARAH BESUT
MDBACHOK,3,KELANTAN,MAJLIS DAERAH BACHOK
MDBALING,2,KEDAH,MAJLIS DAERAH BALING
MDBB,2,KEDAH,MAJLIS DAERAH BANDAR BAHARU
MDBG,8,PERAK,MAJLIS DAERAH BATU GAJAH
MDCH,6,PAHANG,MAJLIS DAERAH CAMERON HIGHLANDS
MDDABONG,3,KELANTAN,MAJLIS DAERAH DABONG
MDG,8,PERAK,MAJLIS DAERAH GERIK
MDGM,3,KELANTAN,MAJLIS DAERAH GUA MUSANG
MDHS,10,SELANGOR,MAJLIS DAERAH HULU SELANGOR
MDHT,11,TERENGGANU,MAJLIS DAERAH HULU TERENGGANU
MDJ,5,NEGERI SEMBILAN,MAJLIS DAERAH JELEBU
MDJELI,3,KELANTAN,MAJLIS DAERAH JELI
MDK,8,PERAK,MAJLIS DAERAH KERIAN
MDKETEREH,3,KELANTAN,MAJLIS DAERAH KETEREH
MDKK,3,KELANTAN,MAJLIS DAERAH KUALA KRAI
MDKP,5,NEGERI SEMBILAN,MAJLIS DAEAH KUALA PILAH
MDKS,10,SELANGOR,MAJLIS DAERAH KUALA SELANGOR
MDL,6,PAHANG,MAJLIS DAERAH LIPIS
MDM,11,TERENGGANU,MAJLIS DAERAH MARANG
MDMACHANG,3,KELANTAN,MAJLIS DAERAH MACHANG
MDPENDANG,2,KEDAH,MAJLIS DAERAH PENDANG
MDPH,8,PERAK,MAJLIS DAERAH PENGKALAN HULU
MDPM,3,KELANTAN,MAJLIS DAERAH PASIR MAS
MDPP,3,KELANTAN,MAJLIS DAERAH PASIR PUTEH
MDPT,8,PERAK,MAJLIS DAERAH PERAK TENGAH
MDPTERAP,2,KEDAH,MAJLIS DAERAH PADANG TERAP
MDR,5,NEGERI SEMBILAN,MAJLIS DAERAH REMBAU
MDROMPIN,6,PAHANG,MAJLIS DAERAH ROMPIN
MDS,8,PERAK,MAJLIS DAERAH SELAMA
MDSB,10,SELANGOR,MAJLIS DAERAH SABAK BERNAM
MDSIK,2,KEDAH,MAJLIS DAERAH SIK
MDT,5,NEGERI SEMBILAN,MAJLIS DAERAH TAMPIN
MDTM,8,PERAK,MAJLIS DAERAH TANJONG MALIM
MDTMERAH,3,KELANTAN,MAJLIS DAERAH TANAH MERAH
MDTUMPAT,3,KELANTAN,MAJLIS DAERAH TUMPAT
MDY,2,KEDAH,MAJLIS DAERAH YAN
MPAG,4,MELAKA,MAJLIS PERBANDARAN ALOR GAJAH
MPAJ,10,SELANGOR,MAJLIS PERBANDARAN AMPANG JAYA
MPD,11,TERENGGANU,MAJLIS PERBANDARAN DUNGUN
MPHTJ,4,MELAKA,MAJLIS PERBANDARAN HANG TUAH JAYA
MPJ,4,MELAKA,MAJLIS PERBANDARAN JASIN
MPJL,5,NEGERI SEMBILAN,MAJLIS PERBANDARAN JEMPOL
MPK,10,SELANGOR,MAJLIS PERBANDARAN KLANG
MPKB-BRI,3,KELANTAN,MAJLIS PERBANDARAN KOTA BAHRU BANDAYARA ISLAM
MPKJ,10,SELANGOR,MAJLIS PERBANDARAN KAJANG
MPKK,2,KEDAH,MAJLIS PERBANDARAN KULIM
MPKL,10,SELANGOR,MAJLIS PERBANDARAN KUALA LANGAT
MPKPASU,2,KEDAH,MAJLIS PERBANDARAN KUBANG PASU
MPKPR,8,PERAK,MAJLIS DAERAH KAMPAR
MPLBP,2,KEDAH,MAJLIS PERBANDARAN LANGKAWI BANDARAYA PELANCONGAN
MPM,8,PERAK,MAJLIS PERBANDARAN MANJUNG
MPPD,5,NEGERI SEMBILAN,MAJIS PERBANDARAN PORT DICKSON
MPS,10,SELANGOR,MAJLIS PERBANDARAN SELAYANG
MPSEPANG,10,SELANGOR,MAJLIS PERBANDARAN SEPANG
MPSPK,2,KEDAH,MAJLIS PERBANDARAN SUNGAI PETANI
MPT,8,PERAK,MAJLIS PERBANDARAN TAIPING
MPTI,8,PERAK,MAJLIS PERBANDARAN TELUK INTAN
PBT TPHTK,2,KEDAH,PBT TAMAN PERINDUSTRIAN HI-TECH KULIM
PPJ,16,WILAYAH PERSEKUTUAN PUTRAJAYA,PERBADANAN PUTRAJAYA
