street_type_id,street_type
1,ALUR
2,AVENUE
3,BATU
4,BUKIT
5,BULATAN
6,CABANG
7,CERUMAN
8,CHANGKAT
9,CROSS
10,DALAMAN
11,DATARAN
12,DRIVE
13,GERBANG
14,GROVE
15,HADAPAN
16,HALA
17,HALAMAN
18,HALUAN
19,HILIR
20,HUJUNG
21,JALAN
22,JAMBATAN
23,JETTY
24,KAMPUNG
25,KELOK
26,KOMPLEKS
27,LALUAN
28,LAMAN
29,LANE
30,LANGGAK
31,LEBUH
32,LEBUHRAYA
33,LEMBAH
34,LENGKOK
35,LENGKONGAN
36,LIKU
37,LILITAN
38,LINGKARAN
39,LINGKUNGAN
40,LINTANG
41,LINTASAN
42,LORONG
43,LOSONG
44,LURAH
45,MAIN STREET
46,MEDAN
47,PARIT
48,PEKELILING
49,PERMATANG
50,PERSIARAN
51,PERSISIRAN
52,PESARA
53,PINGGIR
54,PINGGIRAN
55,PINTAS
56,PINTASAN
57,PUNCAK
58,REGAT
59,ROAD
60,SEBERANG
61,SELASAR
62,SELEKOH
63,SILANG
64,SIMPANG
65,SISIRAN
66,SOLOK
67,STREET
68,SUNGAI
69,SUSUR
70,TAMAN
71,TANJUNG
72,TEPIAN
73,TINGGIAN
74,TINGKAT
